"date","all_CDC_inc","all_google_inc","nyc_CDC_inc","paris_CDC_prev"
"2012-07-26",1,1,1,1
"2012-08-02",1,1,1,1
"2012-08-09",1,1,1,1
"2012-08-16",1,1,1,1
"2012-08-23",1,1,1,1
"2012-08-30",1,1,1,1
"2012-09-06",1,1,1,1
"2012-09-13",1,1,1,1
"2012-09-20",1,1,1,1
"2012-09-27",1,1,1,1
"2012-10-04",1,1,1,1
"2012-10-11",1,1,1,1
"2012-10-18",1,1,1,1
"2012-10-25",1,1,1,1
"2012-11-01",1,1,1,1
"2012-11-08",1,1,1,1
"2012-11-15",1,1,1,1
"2012-11-22",1,1,1,1
"2012-11-29",1,1,1,1
"2012-12-06",1,1,1,1
"2012-12-13",1,1,1,1
"2012-12-20",1,1,1,1
"2012-12-27",1,1,1,1
"2013-01-03",1,1,1,1
"2013-01-10",1,1,1,1
"2013-01-17",1,1,1,1
"2013-01-24",1,1,1,1
"2013-01-31",1,1,1,1
"2013-02-07",1,1,1,1
"2013-02-14",1,1,1,1
"2013-02-21",1,1,1,1
"2013-02-28",1,1,1,1
"2013-03-07",1,1,1,1
"2013-03-14",1,1,1,1
"2013-03-21",1,1,1,1
"2013-03-28",1,1,1,1
"2013-04-04",1,1,1,1
"2013-04-11",1,1,1,1
"2013-04-18",1,1,1,1
"2013-04-25",1,1,1,1
"2013-05-02",1,1,1,1
"2013-05-09",1,1,1,1
"2013-05-16",1,1,1,1
"2013-05-23",1,1,1,1
"2013-05-30",1,1,1,1
"2013-06-06",1,1,1,1
"2013-06-13",1,1,1,1
"2013-06-20",1,1,1,1
"2013-06-27",1,1,1,1
"2013-07-04",1,1,1,1
"2013-07-11",1,1,1,1
"2013-07-18",1,1,1,1
"2013-07-25",1,1,1,1
